booking_id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,stays_in_week_nights,stays_in_weekend_nights,total_nights,adr
134,Resort Hotel,9,2015,July,28,0,1,1,101.0
135,Resort Hotel,2,2015,July,28,0,1,1,167.0
136,Resort Hotel,44,2015,July,28,0,2,2,225.0
137,Resort Hotel,80,2015,July,28,0,2,2,97.0
138,Resort Hotel,97,2015,July,28,2,2,4,87.3
139,Resort Hotel,109,2015,July,28,3,2,5,85.59
140,Resort Hotel,30,2015,July,28,3,2,5,123.0
141,Resort Hotel,64,2015,July,28,3,2,5,107.0
142,Resort Hotel,39,2015,July,28,4,2,6,163.0
143,Resort Hotel,90,2015,July,28,4,2,6,82.0
144,Resort Hotel,34,2015,July,28,4,2,6,163.0
145,Resort Hotel,93,2015,July,28,5,2,7,105.5
146,Resort Hotel,97,2015,July,28,5,2,7,164.2
147,Resort Hotel,29,2015,July,28,5,2,7,97.29
148,Resort Hotel,101,2015,July,28,5,2,7,114.0
149,Resort Hotel,27,2015,July,28,5,2,7,98.4
150,Resort Hotel,8,2015,July,28,5,4,9,175.0
151,Resort Hotel,82,2015,July,28,6,4,10,63.6
152,Resort Hotel,94,2015,July,28,6,4,10,124.45
153,Resort Hotel,110,2015,July,28,7,4,11,110.7
154,Resort Hotel,96,2015,July,28,10,4,14,74.07
155,Resort Hotel,79,2015,July,28,10,4,14,134.1
156,Resort Hotel,115,2015,July,28,4,1,5,167.0
157,Resort Hotel,111,2015,July,28,3,1,4,123.0
158,Resort Hotel,51,2015,July,28,3,1,4,117.81
159,Resort Hotel,94,2015,July,28,3,1,4,171.32
160,Resort Hotel,81,2015,July,28,3,1,4,210.0
161,Resort Hotel,84,2015,July,28,3,1,4,97.0
162,Resort Hotel,51,2015,July,28,3,1,4,117.81
163,Resort Hotel,111,2015,July,28,0,0,0,0.0
164,Resort Hotel,0,2015,July,28,0,0,0,0.0
165,Resort Hotel,2,2015,July,28,0,1,1,131.0
166,Resort Hotel,7,2015,July,28,1,1,2,98.0
167,Resort Hotel,98,2015,July,28,1,1,2,87.3
168,Resort Hotel,95,2015,July,28,2,1,3,97.0
169,Resort Hotel,48,2015,July,28,3,1,4,167.0
170,Resort Hotel,66,2015,July,28,3,1,4,91.5
171,Resort Hotel,104,2015,July,28,3,1,4,73.8
172,Resort Hotel,28,2015,July,28,4,1,5,123.0
173,Resort Hotel,34,2015,July,28,4,1,5,175.0
174,Resort Hotel,98,2015,July,28,5,1,6,117.8
175,Resort Hotel,104,2015,July,28,5,1,6,117.63
176,Resort Hotel,68,2015,July,28,5,2,7,185.0
177,Resort Hotel,86,2015,July,28,5,2,7,71.0
178,Resort Hotel,258,2015,July,28,5,2,7,47.25
179,Resort Hotel,111,2015,July,28,5,3,8,151.0
180,Resort Hotel,94,2015,July,28,7,3,10,87.3
181,Resort Hotel,112,2015,July,28,7,3,10,120.6
182,Resort Hotel,100,2015,July,28,7,3,10,63.86
183,Resort Hotel,33,2015,July,28,7,3,10,157.1
184,Resort Hotel,97,2015,July,28,7,3,10,91.37
185,Resort Hotel,80,2015,July,28,8,3,11,73.0
186,Resort Hotel,90,2015,July,28,10,4,14,110.7
187,Resort Hotel,111,2015,July,28,10,4,14,93.6
188,Resort Hotel,65,2015,July,28,5,2,7,83.5
189,Resort Hotel,67,2015,July,28,2,0,2,73.8
190,Resort Hotel,55,2015,July,28,3,0,3,82.0
191,Resort Hotel,21,2015,July,28,3,0,3,185.5
192,Resort Hotel,8,2015,July,28,0,0,0,0.0
193,Resort Hotel,8,2015,July,28,0,0,0,0.0
194,Resort Hotel,0,2015,July,28,1,0,1,109.8
195,Resort Hotel,0,2015,July,28,1,0,1,195.0
196,Resort Hotel,8,2015,July,28,4,0,4,193.0
197,Resort Hotel,66,2015,July,28,4,0,4,97.0
198,Resort Hotel,88,2015,July,28,4,0,4,150.0
199,Resort Hotel,0,2015,July,28,4,0,4,98.0
200,Resort Hotel,43,2015,July,28,5,0,5,91.5
201,Resort Hotel,88,2015,July,28,5,2,7,139.0
202,Resort Hotel,54,2015,July,28,5,2,7,79.5
203,Resort Hotel,292,2015,July,28,5,2,7,47.25
204,Resort Hotel,112,2015,July,28,10,4,14,126.65
205,Resort Hotel,68,2015,July,28,3,0,3,107.0
206,Resort Hotel,7,2015,July,28,4,0,4,131.0
207,Resort Hotel,1,2015,July,28,4,0,4,131.0
208,Resort Hotel,113,2015,July,28,4,0,4,123.0
209,Resort Hotel,5,2015,July,28,4,0,4,146.0
210,Resort Hotel,83,2015,July,28,4,0,4,110.7
211,Resort Hotel,105,2015,July,28,4,0,4,73.8
212,Resort Hotel,0,2015,July,28,1,0,1,61.0
213,Resort Hotel,1,2015,July,28,1,0,1,104.72
214,Resort Hotel,1,2015,July,28,2,0,2,104.72
215,Resort Hotel,102,2015,July,28,4,1,5,66.42
216,Resort Hotel,113,2015,July,28,4,2,6,77.96
217,Resort Hotel,280,2015,July,28,5,2,7,112.0
218,Resort Hotel,96,2015,July,28,5,2,7,107.0
219,Resort Hotel,365,2015,July,28,5,2,7,89.68
220,Resort Hotel,33,2015,July,28,5,2,7,155.0
221,Resort Hotel,82,2015,July,28,6,2,8,112.0
222,Resort Hotel,100,2015,July,28,7,2,9,130.1
223,Resort Hotel,100,2015,July,28,7,2,9,100.1
224,Resort Hotel,17,2015,July,28,1,0,1,123.0
225,Resort Hotel,68,2015,July,28,2,0,2,124.0
226,Resort Hotel,12,2015,July,28,2,0,2,146.0
227,Resort Hotel,77,2015,July,28,3,0,3,97.0
228,Resort Hotel,24,2015,July,28,3,0,3,123.0
229,Resort Hotel,44,2015,July,28,3,0,3,153.0
230,Resort Hotel,78,2015,July,28,3,0,3,82.0
231,Resort Hotel,17,2015,July,28,3,1,4,105.08
232,Resort Hotel,103,2015,July,28,3,1,4,65.42
233,Resort Hotel,16,2015,July,28,3,1,4,98.0
234,Resort Hotel,14,2015,July,28,3,2,5,75.46
235,Resort Hotel,77,2015,July,28,3,2,5,65.5
236,Resort Hotel,90,2015,July,28,5,2,7,90.95
237,Resort Hotel,90,2015,July,28,5,2,7,93.6
238,Resort Hotel,90,2015,July,28,5,2,7,119.25
239,Resort Hotel,365,2015,July,28,5,2,7,134.73
240,Resort Hotel,249,2015,July,28,5,2,7,112.0
241,Resort Hotel,69,2015,July,28,6,2,8,118.13
242,Resort Hotel,10,2015,July,28,1,0,1,131.0
243,Resort Hotel,22,2015,July,28,2,0,2,88.2
244,Resort Hotel,91,2015,July,28,2,0,2,73.8
245,Resort Hotel,23,2015,July,28,2,0,2,98.0
246,Resort Hotel,11,2015,July,28,2,0,2,110.5
247,Resort Hotel,3,2015,July,28,2,0,2,131.0
248,Resort Hotel,13,2015,July,28,2,0,2,185.0
249,Resort Hotel,108,2015,July,28,2,0,2,87.3
250,Resort Hotel,37,2015,July,28,2,1,3,120.0
251,Resort Hotel,21,2015,July,28,2,1,3,98.0
252,Resort Hotel,106,2015,July,28,2,1,3,96.3
253,Resort Hotel,30,2015,July,28,2,2,4,197.0
254,Resort Hotel,51,2015,July,28,3,2,5,123.0
255,Resort Hotel,79,2015,July,28,3,2,5,82.0
256,Resort Hotel,21,2015,July,28,3,2,5,165.0
257,Resort Hotel,35,2015,July,28,3,2,5,149.4
258,Resort Hotel,78,2015,July,28,5,2,7,106.84
259,Resort Hotel,31,2015,July,28,5,2,7,161.0
260,Resort Hotel,78,2015,July,28,5,2,7,134.43
261,Resort Hotel,78,2015,July,28,5,2,7,144.43
262,Resort Hotel,44,2015,July,28,5,2,7,152.0
263,Resort Hotel,34,2015,July,28,5,2,7,125.54
264,Resort Hotel,87,2015,July,28,5,2,7,133.83
265,Resort Hotel,11,2015,July,28,6,2,8,159.75
266,Resort Hotel,115,2015,July,28,7,2,9,120.6
267,Resort Hotel,86,2015,July,28,7,3,10,112.2
268,Resort Hotel,41,2015,July,28,7,4,11,110.6
269,Resort Hotel,32,2015,July,28,9,4,13,105.9
270,Resort Hotel,34,2015,July,28,5,2,7,95.27
271,Resort Hotel,34,2015,July,28,5,2,7,108.83
272,Resort Hotel,100,2015,July,28,3,2,5,153.96
273,Resort Hotel,44,2015,July,28,3,2,5,120.6
274,Resort Hotel,304,2015,July,28,4,2,6,90.67
275,Resort Hotel,36,2015,July,28,4,2,6,126.67
276,Resort Hotel,117,2015,July,28,4,2,6,144.4
277,Resort Hotel,70,2015,July,28,4,2,6,99.5
278,Resort Hotel,110,2015,July,28,5,2,7,139.4
279,Resort Hotel,109,2015,July,28,5,2,7,73.8
280,Resort Hotel,33,2015,July,28,2,2,4,89.97
281,Resort Hotel,33,2015,July,28,2,2,4,123.0
282,Resort Hotel,33,2015,July,28,2,2,4,123.0
283,Resort Hotel,0,2015,July,28,1,0,1,123.0
284,Resort Hotel,0,2015,July,28,1,0,1,144.9
285,Resort Hotel,0,2015,July,28,1,0,1,153.0
286,Resort Hotel,0,2015,July,28,1,0,1,131.0
287,Resort Hotel,84,2015,July,28,1,1,2,100.0
288,Resort Hotel,71,2015,July,28,1,1,2,65.5
289,Resort Hotel,16,2015,July,28,1,1,2,123.0
290,Resort Hotel,54,2015,July,28,1,2,3,123.0
291,Resort Hotel,8,2015,July,28,1,2,3,131.0
292,Resort Hotel,36,2015,July,28,5,2,7,104.68
293,Resort Hotel,40,2015,July,28,5,2,7,166.0
294,Resort Hotel,59,2015,July,28,6,2,8,111.25
295,Resort Hotel,79,2015,July,28,6,2,8,213.75
296,Resort Hotel,32,2015,July,28,6,4,10,178.0
297,Resort Hotel,110,2015,July,28,5,2,7,113.9
298,Resort Hotel,33,2015,July,28,5,2,7,129.29
299,Resort Hotel,53,2015,July,29,0,1,1,153.0
300,Resort Hotel,2,2015,July,29,0,1,1,98.0
301,Resort Hotel,8,2015,July,29,4,2,6,169.0
302,Resort Hotel,72,2015,July,29,4,2,6,93.0
303,Resort Hotel,12,2015,July,29,5,2,7,132.29
304,Resort Hotel,48,2015,July,29,5,2,7,123.0
305,Resort Hotel,90,2015,July,29,5,2,7,117.22
306,Resort Hotel,34,2015,July,29,5,2,7,149.0
307,Resort Hotel,58,2015,July,29,5,2,7,164.57
308,Resort Hotel,59,2015,July,29,5,2,7,107.0
309,Resort Hotel,90,2015,July,29,5,2,7,117.22
310,Resort Hotel,116,2015,July,29,5,2,7,119.25
311,Resort Hotel,31,2015,July,29,5,2,7,123.0
312,Resort Hotel,51,2015,July,29,5,2,7,105.71
313,Resort Hotel,48,2015,July,29,5,2,7,123.0
314,Resort Hotel,59,2015,July,29,5,2,7,144.43
315,Resort Hotel,97,2015,July,29,5,3,8,126.0
316,Resort Hotel,12,2015,July,29,5,4,9,148.3
317,Resort Hotel,64,2015,July,29,5,4,9,125.22
318,Resort Hotel,31,2015,July,29,7,4,11,123.0
319,Resort Hotel,59,2015,July,29,7,4,11,130.0
320,Resort Hotel,55,2015,July,29,10,4,14,133.16
321,Resort Hotel,81,2015,July,29,5,2,7,78.84
322,Resort Hotel,1,2015,July,29,0,1,1,80.1
323,Resort Hotel,34,2015,July,29,0,2,2,193.0
324,Resort Hotel,13,2015,July,29,0,2,2,88.2
325,Resort Hotel,40,2015,July,29,0,2,2,90.71
326,Resort Hotel,1,2015,July,29,0,2,2,114.5
327,Resort Hotel,34,2015,July,29,0,2,2,120.2
328,Resort Hotel,88,2015,July,29,1,2,3,79.5
329,Resort Hotel,9,2015,July,29,1,2,3,117.9
330,Resort Hotel,24,2015,July,29,1,2,3,128.0
331,Resort Hotel,97,2015,July,29,2,2,4,90.95
332,Resort Hotel,60,2015,July,29,2,2,4,107.0
333,Resort Hotel,100,2015,July,29,2,2,4,130.05
334,Resort Hotel,50,2015,July,29,3,2,5,123.0
335,Resort Hotel,47,2015,July,29,3,2,5,103.8
336,Resort Hotel,8,2015,July,29,3,2,5,196.0
337,Resort Hotel,34,2015,July,29,3,2,5,149.4
338,Resort Hotel,47,2015,July,29,5,2,7,175.71
339,Resort Hotel,115,2015,July,29,5,2,7,119.7
340,Resort Hotel,79,2015,July,29,5,2,7,100.86
341,Resort Hotel,91,2015,July,29,5,2,7,100.86
342,Resort Hotel,98,2015,July,29,1,1,2,82.0
343,Resort Hotel,109,2015,July,29,1,1,2,73.8
344,Resort Hotel,0,2015,July,29,1,1,2,117.9
345,Resort Hotel,0,2015,July,29,1,1,2,150.0
346,Resort Hotel,9,2015,July,29,1,1,2,161.0
347,Resort Hotel,62,2015,July,29,1,1,2,64.0
348,Resort Hotel,45,2015,July,29,1,1,2,123.0
349,Resort Hotel,42,2015,July,29,2,1,3,110.0
350,Resort Hotel,54,2015,July,29,2,1,3,88.2
351,Resort Hotel,51,2015,July,29,2,1,3,130.0
352,Resort Hotel,54,2015,July,29,2,1,3,88.2
353,Resort Hotel,58,2015,July,29,2,1,3,165.0
354,Resort Hotel,0,2015,July,29,3,1,4,114.0
355,Resort Hotel,60,2015,July,29,4,1,5,79.5
356,Resort Hotel,321,2015,July,29,4,1,5,132.8
357,Resort Hotel,40,2015,July,29,4,1,5,120.0
358,Resort Hotel,51,2015,July,29,4,1,5,79.5
359,Resort Hotel,38,2015,July,29,4,1,5,120.0
360,Resort Hotel,75,2015,July,29,4,1,5,144.2
361,Resort Hotel,101,2015,July,29,4,1,5,107.2
362,Resort Hotel,42,2015,July,29,4,1,5,120.0
363,Resort Hotel,109,2015,July,29,4,1,5,163.8
364,Resort Hotel,81,2015,July,29,5,1,6,98.5
365,Resort Hotel,98,2015,July,29,5,1,6,130.5
366,Resort Hotel,32,2015,July,29,5,1,6,153.0
367,Resort Hotel,72,2015,July,29,5,1,6,98.5
368,Resort Hotel,115,2015,July,29,5,2,7,119.7
369,Resort Hotel,118,2015,July,29,5,2,7,184.6
370,Resort Hotel,81,2015,July,29,5,2,7,181.22
371,Resort Hotel,95,2015,July,29,5,2,7,100.86
372,Resort Hotel,16,2015,July,29,0,1,1,100.2
373,Resort Hotel,56,2015,July,29,3,1,4,134.25
374,Resort Hotel,88,2015,July,29,5,3,8,96.3
375,Resort Hotel,41,2015,July,29,6,3,9,83.09
376,Resort Hotel,40,2015,July,29,1,0,1,105.5
377,Resort Hotel,1,2015,July,29,1,0,1,134.0
378,Resort Hotel,1,2015,July,29,1,0,1,8.0
379,Resort Hotel,1,2015,July,29,2,0,2,146.0
380,Resort Hotel,76,2015,July,29,4,0,4,126.0
381,Resort Hotel,0,2015,July,29,4,0,4,111.15
382,Resort Hotel,49,2015,July,29,5,0,5,136.2
383,Resort Hotel,76,2015,July,29,5,0,5,101.8
384,Resort Hotel,73,2015,July,29,5,1,6,127.0
385,Resort Hotel,73,2015,July,29,5,1,6,161.5
386,Resort Hotel,317,2015,July,29,5,1,6,230.67
387,Resort Hotel,112,2015,July,29,5,2,7,65.7
388,Resort Hotel,6,2015,July,29,5,2,7,180.0
389,Resort Hotel,8,2015,July,29,5,2,7,168.57
390,Resort Hotel,96,2015,July,29,7,2,9,107.67
391,Resort Hotel,96,2015,July,29,7,2,9,96.9
392,Resort Hotel,99,2015,July,29,7,2,9,107.0
393,Resort Hotel,66,2015,July,29,9,2,11,73.41
394,Resort Hotel,38,2015,July,29,10,4,14,109.9
395,Resort Hotel,38,2015,July,29,10,4,14,109.9
396,Resort Hotel,113,2015,July,29,11,4,15,187.5
397,Resort Hotel,0,2015,July,29,1,0,1,134.0
398,Resort Hotel,62,2015,July,29,3,0,3,91.5
399,Resort Hotel,39,2015,July,29,3,0,3,132.44
400,Resort Hotel,37,2015,July,29,4,2,6,106.9
401,Resort Hotel,58,2015,July,29,5,2,7,131.86
402,Resort Hotel,37,2015,July,29,6,2,8,216.13
403,Resort Hotel,57,2015,July,29,2,0,2,107.0
404,Resort Hotel,57,2015,July,29,2,0,2,107.0
405,Resort Hotel,57,2015,July,29,2,0,2,107.0
406,Resort Hotel,83,2015,July,29,7,2,9,190.33
407,Resort Hotel,57,2015,July,29,2,0,2,107.0
408,Resort Hotel,57,2015,July,29,2,0,2,94.0
409,Resort Hotel,57,2015,July,29,2,0,2,0.0
410,Resort Hotel,57,2015,July,29,2,0,2,98.75
411,Resort Hotel,57,2015,July,29,2,0,2,148.23
412,Resort Hotel,57,2015,July,29,2,0,2,94.0
413,Resort Hotel,57,2015,July,29,2,0,2,0.0
414,Resort Hotel,66,2015,July,29,2,0,2,195.0
415,Resort Hotel,13,2015,July,29,2,0,2,120.6
416,Resort Hotel,50,2015,July,29,1,0,1,123.2
417,Resort Hotel,48,2015,July,29,1,0,1,112.0
418,Resort Hotel,0,2015,July,29,1,0,1,123.2
419,Resort Hotel,7,2015,July,29,1,0,1,169.0
420,Resort Hotel,0,2015,July,29,2,0,2,198.0
421,Resort Hotel,66,2015,July,29,2,0,2,103.5
422,Resort Hotel,13,2015,July,29,2,0,2,135.6
423,Resort Hotel,66,2015,July,29,2,0,2,103.5
424,Resort Hotel,10,2015,July,29,3,0,3,184.0
425,Resort Hotel,10,2015,July,29,3,0,3,134.0
426,Resort Hotel,58,2015,July,29,3,0,3,147.0
427,Resort Hotel,17,2015,July,29,3,0,3,151.33
428,Resort Hotel,19,2015,July,29,3,0,3,121.33
429,Resort Hotel,10,2015,July,29,3,2,5,150.2
430,Resort Hotel,12,2015,July,29,3,2,5,139.0
431,Resort Hotel,10,2015,July,29,3,2,5,150.2
432,Resort Hotel,63,2015,July,29,3,1,4,75.44
433,Resort Hotel,35,2015,July,29,3,1,4,135.0
434,Resort Hotel,113,2015,July,29,4,2,6,166.0
435,Resort Hotel,35,2015,July,29,4,2,6,135.0
436,Resort Hotel,68,2015,July,29,5,2,7,130.0
437,Resort Hotel,113,2015,July,29,6,2,8,96.3
438,Resort Hotel,21,2015,July,29,10,4,14,160.0
439,Resort Hotel,6,2015,July,29,0,0,0,0.0
440,Resort Hotel,7,2015,July,29,2,0,2,127.25
441,Resort Hotel,17,2015,July,29,2,0,2,164.0
442,Resort Hotel,1,2015,July,29,2,0,2,144.5
443,Resort Hotel,2,2015,July,29,2,0,2,112.0
444,Resort Hotel,15,2015,July,29,2,0,2,134.0
445,Resort Hotel,7,2015,July,29,2,0,2,127.25
446,Resort Hotel,11,2015,July,29,2,0,2,155.5
447,Resort Hotel,6,2015,July,29,2,0,2,110.5
448,Resort Hotel,1,2015,July,29,2,0,2,144.5
449,Resort Hotel,1,2015,July,29,2,0,2,144.5
450,Resort Hotel,48,2015,July,29,2,0,2,123.0
451,Resort Hotel,15,2015,July,29,2,0,2,120.6
452,Resort Hotel,3,2015,July,29,2,0,2,107.6
453,Resort Hotel,23,2015,July,29,2,1,3,120.6
454,Resort Hotel,53,2015,July,29,3,2,5,107.0
455,Resort Hotel,53,2015,July,29,3,2,5,133.75
456,Resort Hotel,94,2015,July,29,3,2,5,103.5
457,Resort Hotel,64,2015,July,29,3,2,5,84.8
458,Resort Hotel,53,2015,July,29,3,2,5,107.0
459,Resort Hotel,53,2015,July,29,3,2,5,107.0
460,Resort Hotel,24,2015,July,29,3,2,5,195.0
461,Resort Hotel,24,2015,July,29,4,2,6,164.0
462,Resort Hotel,23,2015,July,29,5,2,7,195.0
463,Resort Hotel,53,2015,July,29,5,2,7,125.0
464,Resort Hotel,23,2015,July,29,5,2,7,195.0
465,Resort Hotel,90,2015,July,29,5,2,7,132.3
466,Resort Hotel,79,2015,July,29,5,2,7,145.0
467,Resort Hotel,43,2015,July,29,5,2,7,92.0
468,Resort Hotel,65,2015,July,29,6,2,8,147.0
469,Resort Hotel,65,2015,July,29,6,2,8,167.0
470,Resort Hotel,99,2015,July,29,6,2,8,210.0
471,Resort Hotel,25,2015,July,29,7,3,10,194.9
472,Resort Hotel,92,2015,July,29,2,1,3,103.5
473,Resort Hotel,91,2015,July,29,2,1,3,118.5
474,Resort Hotel,38,2015,July,29,2,1,3,192.0
475,Resort Hotel,6,2015,July,29,2,1,3,128.27
476,Resort Hotel,38,2015,July,29,2,1,3,135.0
